Unnamed: 0,movie_id,title,genres,year,clean_title,genres_list,text_for_bert,cluster
24,25,Leaving Las Vegas (1995),Drama|Romance,1995.0,Leaving Las Vegas,"['Drama', 'Romance']",leaving las vegas drama romance,14
25,26,Othello (1995),Drama,1995.0,Othello,['Drama'],othello drama,10
26,27,Now and Then (1995),Drama,1995.0,Now and Then,['Drama'],drama,10
27,28,Persuasion (1995),Romance,1995.0,Persuasion,['Romance'],persuasion romance,3
28,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995.0,"City of Lost Children, The","['Adventure', 'Sci-Fi']",city lost children adventure scifi,5
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995.0,Shanghai Triad (Yao a yao yao dao waipo qiao),['Drama'],shanghai triad yao yao yao dao waipo qiao drama,1
30,31,Dangerous Minds (1995),Drama,1995.0,Dangerous Minds,['Drama'],dangerous minds drama,14
31,32,Twelve Monkeys (1995),Drama|Sci-Fi,1995.0,Twelve Monkeys,"['Drama', 'Sci-Fi']",twelve monkeys drama scifi,5
32,33,Wings of Courage (1995),Adventure|Romance,1995.0,Wings of Courage,"['Adventure', 'Romance']",wings courage adventure romance,11
33,34,Babe (1995),Children's|Comedy|Drama,1995.0,Babe,"[""Children's"", 'Comedy', 'Drama']",babe childrens comedy drama,7
34,35,Carrington (1995),Drama|Romance,1995.0,Carrington,"['Drama', 'Romance']",carrington drama romance,11
35,36,Dead Man Walking (1995),Drama,1995.0,Dead Man Walking,['Drama'],dead man walking drama,14
36,37,Across the Sea of Time (1995),Documentary,1995.0,Across the Sea of Time,['Documentary'],across sea time documentary,6
37,38,It Takes Two (1995),Comedy,1995.0,It Takes Two,['Comedy'],takes two comedy,14
38,39,Clueless (1995),Comedy|Romance,1995.0,Clueless,"['Comedy', 'Romance']",clueless comedy romance,11
39,40,"Cry, the Beloved Country (1995)",Drama,1995.0,"Cry, the Beloved Country",['Drama'],cry beloved country drama,3
40,41,Richard III (1995),Drama|War,1995.0,Richard III,"['Drama', 'War']",richard iii drama war,12
41,42,Dead Presidents (1995),Action|Crime|Drama,1995.0,Dead Presidents,"['Action', 'Crime', 'Drama']",dead presidents action crime drama,9
42,43,Restoration (1995),Drama,1995.0,Restoration,['Drama'],restoration drama,10
43,44,Mortal Kombat (1995),Action|Adventure,1995.0,Mortal Kombat,"['Action', 'Adventure']",mortal kombat action adventure,12
44,45,To Die For (1995),Comedy|Drama,1995.0,To Die For,"['Comedy', 'Drama']",die comedy drama,1
45,46,How to Make an American Quilt (1995),Drama|Romance,1995.0,How to Make an American Quilt,"['Drama', 'Romance']",make american quilt drama romance,11
46,47,Seven (Se7en) (1995),Crime|Thriller,1995.0,Seven (Se7en),"['Crime', 'Thriller']",seven seen crime thriller,8
47,48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995.0,Pocahontas,"['Animation', ""Children's"", 'Musical', 'Romance']",pocahontas animation childrens musical romance,4
48,49,When Night Is Falling (1995),Drama|Romance,1995.0,When Night Is Falling,"['Drama', 'Romance']",night falling drama romance,11
49,50,"Usual Suspects, The (1995)",Crime|Thriller,1995.0,"Usual Suspects, The","['Crime', 'Thriller']",usual suspects crime thriller,14
50,51,Guardian Angel (1994),Action|Drama|Thriller,1994.0,Guardian Angel,"['Action', 'Drama', 'Thriller']",guardian angel action drama thriller,8
51,52,Mighty Aphrodite (1995),Comedy,1995.0,Mighty Aphrodite,['Comedy'],mighty aphrodite comedy,0
52,53,Lamerica (1994),Drama,1994.0,Lamerica,['Drama'],lamerica drama,10
53,54,"Big Green, The (1995)",Children's|Comedy,1995.0,"Big Green, The","[""Children's"", 'Comedy']",big green childrens comedy,0
54,55,Georgia (1995),Drama,1995.0,Georgia,['Drama'],georgia drama,10
55,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1995.0,Kids of the Round Table,"['Adventure', ""Children's"", 'Fantasy']",kids round table adventure childrens fantasy,4
56,57,Home for the Holidays (1995),Drama,1995.0,Home for the Holidays,['Drama'],home holidays drama,10
57,58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994.0,"Postino, Il (The Postman)","['Drama', 'Romance']",postino il postman drama romance,1
58,59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,1995.0,"Confessional, The (Le Confessionnal)","['Drama', 'Mystery']",confessional le confessionnal drama mystery,1
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,1995.0,"Indian in the Cupboard, The","['Adventure', ""Children's"", 'Fantasy']",indian cupboard adventure childrens fantasy,4
60,61,Eye for an Eye (1996),Drama|Thriller,1996.0,Eye for an Eye,"['Drama', 'Thriller']",eye eye drama thriller,8
61,62,Mr. Holland's Opus (1995),Drama,1995.0,Mr. Holland's Opus,['Drama'],mr hollands opus drama,10
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,1996.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],dont menace south central drinking juice hood comedy,2
63,64,Two if by Sea (1996),Comedy|Romance,1996.0,Two if by Sea,"['Comedy', 'Romance']",two sea comedy romance,11
64,65,Bio-Dome (1996),Comedy,1996.0,Bio-Dome,['Comedy'],biodome comedy,2
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1996.0,Lawnmower Man 2: Beyond Cyberspace,"['Sci-Fi', 'Thriller']",lawnmower man beyond cyberspace scifi thriller,5
66,67,Two Bits (1995),Drama,1995.0,Two Bits,['Drama'],two bits drama,3
67,68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995.0,French Twist (Gazon maudit),"['Comedy', 'Romance']",french twist gazon maudit comedy romance,11
68,69,Friday (1995),Comedy,1995.0,Friday,['Comedy'],friday comedy,2
69,70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,1996.0,From Dusk Till Dawn,"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",dusk till dawn action comedy crime horror thriller,8
70,71,Fair Game (1995),Action,1995.0,Fair Game,['Action'],fair game action,3
71,72,Kicking and Screaming (1995),Comedy|Drama,1995.0,Kicking and Screaming,"['Comedy', 'Drama']",kicking screaming comedy drama,2
72,73,"Misérables, Les (1995)",Drama|Musical,1995.0,"Misérables, Les","['Drama', 'Musical']",misrables les drama musical,1
73,74,Bed of Roses (1996),Drama|Romance,1996.0,Bed of Roses,"['Drama', 'Romance']",bed roses drama romance,11
74,75,Big Bully (1996),Comedy|Drama,1996.0,Big Bully,"['Comedy', 'Drama']",big bully comedy drama,7
75,76,Screamers (1995),Sci-Fi|Thriller,1995.0,Screamers,"['Sci-Fi', 'Thriller']",screamers scifi thriller,8
76,77,Nico Icon (1995),Documentary,1995.0,Nico Icon,['Documentary'],nico icon documentary,3
77,78,"Crossing Guard, The (1995)",Drama,1995.0,"Crossing Guard, The",['Drama'],crossing guard drama,14
78,79,"Juror, The (1996)",Drama|Thriller,1996.0,"Juror, The","['Drama', 'Thriller']",juror drama thriller,8
79,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,1995.0,"White Balloon, The (Badkonake Sefid )",['Drama'],white balloon badkonake sefid drama,1
80,81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,1995.0,Things to Do in Denver when You're Dead,"['Crime', 'Drama', 'Romance']",things denver youre dead crime drama romance,11
81,82,Antonia's Line (Antonia) (1995),Drama,1995.0,Antonia's Line (Antonia),['Drama'],antonias line antonia drama,1
82,83,Once Upon a Time... When We Were Colored (1995),Drama,1995.0,Once Upon a Time... When We Were Colored,['Drama'],upon time colored drama,3
83,84,Last Summer in the Hamptons (1995),Comedy|Drama,1995.0,Last Summer in the Hamptons,"['Comedy', 'Drama']",last summer hamptons comedy drama,2
84,85,Angels and Insects (1995),Drama|Romance,1995.0,Angels and Insects,"['Drama', 'Romance']",angels insects drama romance,11
85,86,White Squall (1996),Adventure|Drama,1996.0,White Squall,"['Adventure', 'Drama']",white squall adventure drama,10
86,87,Dunston Checks In (1996),Children's|Comedy,1996.0,Dunston Checks In,"[""Children's"", 'Comedy']",dunston checks childrens comedy,2
87,88,Black Sheep (1996),Comedy,1996.0,Black Sheep,['Comedy'],black sheep comedy,0
88,89,Nick of Time (1995),Action|Thriller,1995.0,Nick of Time,"['Action', 'Thriller']",nick time action thriller,8
89,90,"Journey of August King, The (1995)",Drama,1995.0,"Journey of August King, The",['Drama'],journey august king drama,3
90,92,Mary Reilly (1996),Drama|Thriller,1996.0,Mary Reilly,"['Drama', 'Thriller']",mary reilly drama thriller,8
91,93,Vampire in Brooklyn (1995),Comedy|Romance,1995.0,Vampire in Brooklyn,"['Comedy', 'Romance']",vampire brooklyn comedy romance,11
92,94,Beautiful Girls (1996),Drama,1996.0,Beautiful Girls,['Drama'],beautiful girls drama,10
93,95,Broken Arrow (1996),Action|Thriller,1996.0,Broken Arrow,"['Action', 'Thriller']",broken arrow action thriller,8
94,96,In the Bleak Midwinter (1995),Comedy,1995.0,In the Bleak Midwinter,['Comedy'],bleak midwinter comedy,2
95,97,"Hate (Haine, La) (1995)",Drama,1995.0,"Hate (Haine, La)",['Drama'],hate haine la drama,1
96,98,Shopping (1994),Action|Thriller,1994.0,Shopping,"['Action', 'Thriller']",shopping action thriller,3
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995.0,Heidi Fleiss: Hollywood Madam,['Documentary'],heidi fleiss hollywood madam documentary,6
98,100,City Hall (1996),Drama|Thriller,1996.0,City Hall,"['Drama', 'Thriller']",city hall drama thriller,8
99,101,Bottle Rocket (1996),Comedy,1996.0,Bottle Rocket,['Comedy'],bottle rocket comedy,0
100,102,Mr. Wrong (1996),Comedy,1996.0,Mr. Wrong,['Comedy'],mr wrong comedy,3
101,103,Unforgettable (1996),Thriller,1996.0,Unforgettable,['Thriller'],unforgettable thriller,3
102,104,Happy Gilmore (1996),Comedy,1996.0,Happy Gilmore,['Comedy'],happy gilmore comedy,0
103,105,"Bridges of Madison County, The (1995)",Drama|Romance,1995.0,"Bridges of Madison County, The","['Drama', 'Romance']",bridges madison county drama romance,3
104,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994.0,Nobody Loves Me (Keiner liebt mich),"['Comedy', 'Drama']",nobody loves keiner liebt mich comedy drama,1
105,107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,1996.0,Muppet Treasure Island,"['Adventure', ""Children's"", 'Comedy', 'Musical']",muppet treasure island adventure childrens comedy musical,4
106,108,Catwalk (1995),Documentary,1995.0,Catwalk,['Documentary'],catwalk documentary,6
107,109,Headless Body in Topless Bar (1995),Comedy,1995.0,Headless Body in Topless Bar,['Comedy'],headless body topless bar comedy,2
108,110,Braveheart (1995),Action|Drama|War,1995.0,Braveheart,"['Action', 'Drama', 'War']",braveheart action drama war,7
109,111,Taxi Driver (1976),Drama|Thriller,1976.0,Taxi Driver,"['Drama', 'Thriller']",taxi driver drama thriller,8
110,112,Rumble in the Bronx (1995),Action|Adventure|Crime,1995.0,Rumble in the Bronx,"['Action', 'Adventure', 'Crime']",rumble bronx action adventure crime,12
111,113,Before and After (1996),Drama|Mystery,1996.0,Before and After,"['Drama', 'Mystery']",drama mystery,11
112,114,Margaret's Museum (1995),Drama,1995.0,Margaret's Museum,['Drama'],margarets museum drama,10
113,115,Happiness Is in the Field (1995),Comedy,1995.0,Happiness Is in the Field,['Comedy'],happiness field comedy,2
114,116,Anne Frank Remembered (1995),Documentary,1995.0,Anne Frank Remembered,['Documentary'],anne frank remembered documentary,3
115,117,"Young Poisoner's Handbook, The (1995)",Crime,1995.0,"Young Poisoner's Handbook, The",['Crime'],young poisoners handbook crime,14
116,118,If Lucy Fell (1996),Comedy|Romance,1996.0,If Lucy Fell,"['Comedy', 'Romance']",lucy fell comedy romance,2
117,119,"Steal Big, Steal Little (1995)",Comedy,1995.0,"Steal Big, Steal Little",['Comedy'],steal big steal little comedy,2
118,120,Race the Sun (1996),Drama,1996.0,Race the Sun,['Drama'],race sun drama,3
119,121,"Boys of St. Vincent, The (1993)",Drama,1993.0,"Boys of St. Vincent, The",['Drama'],boys st vincent drama,10
120,122,Boomerang (1992),Comedy|Romance,1992.0,Boomerang,"['Comedy', 'Romance']",boomerang comedy romance,11
121,123,Chungking Express (1994),Drama|Mystery|Romance,1994.0,Chungking Express,"['Drama', 'Mystery', 'Romance']",chungking express drama mystery romance,7
122,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,1995.0,"Star Maker, The (Uomo delle stelle, L')",['Drama'],star maker uomo delle stelle l drama,1
123,125,Flirting With Disaster (1996),Comedy,1996.0,Flirting With Disaster,['Comedy'],flirting disaster comedy,2
124,126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,1994.0,"NeverEnding Story III, The","['Adventure', ""Children's"", 'Fantasy']",neverending story iii adventure childrens fantasy,12
125,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1994.0,"Silence of the Palace, The (Saimt el Qusur)",['Drama'],silence palace saimt el qusur drama,1
126,128,Jupiter's Wife (1994),Documentary,1994.0,Jupiter's Wife,['Documentary'],jupiters wife documentary,6
127,129,Pie in the Sky (1995),Comedy|Romance,1995.0,Pie in the Sky,"['Comedy', 'Romance']",pie sky comedy romance,11
128,130,Angela (1995),Drama,1995.0,Angela,['Drama'],angela drama,3
129,131,Frankie Starlight (1995),Drama|Romance,1995.0,Frankie Starlight,"['Drama', 'Romance']",frankie starlight drama romance,11
130,132,Jade (1995),Thriller,1995.0,Jade,['Thriller'],jade thriller,3
131,133,Nueba Yol (1995),Comedy|Drama,1995.0,Nueba Yol,"['Comedy', 'Drama']",nueba yol comedy drama,7
132,134,Sonic Outlaws (1995),Documentary,1995.0,Sonic Outlaws,['Documentary'],sonic outlaws documentary,6
133,135,Down Periscope (1996),Comedy,1996.0,Down Periscope,['Comedy'],periscope comedy,0
134,136,From the Journals of Jean Seberg (1995),Documentary,1995.0,From the Journals of Jean Seberg,['Documentary'],journals jean seberg documentary,6
135,137,Man of the Year (1995),Documentary,1995.0,Man of the Year,['Documentary'],man year documentary,6
136,138,"Neon Bible, The (1995)",Drama,1995.0,"Neon Bible, The",['Drama'],neon bible drama,10
137,139,Target (1995),Action|Drama,1995.0,Target,"['Action', 'Drama']",target action drama,7
138,140,Up Close and Personal (1996),Drama|Romance,1996.0,Up Close and Personal,"['Drama', 'Romance']",close personal drama romance,11
139,141,"Birdcage, The (1996)",Comedy,1996.0,"Birdcage, The",['Comedy'],birdcage comedy,0
140,142,Shadows (Cienie) (1988),Drama,1988.0,Shadows (Cienie),['Drama'],shadows cienie drama,1
141,143,Gospa (1995),Drama,1995.0,Gospa,['Drama'],gospa drama,10
142,144,"Brothers McMullen, The (1995)",Comedy,1995.0,"Brothers McMullen, The",['Comedy'],brothers mcmullen comedy,2
143,145,Bad Boys (1995),Action,1995.0,Bad Boys,['Action'],bad boys action,0
144,146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,1995.0,"Amazing Panda Adventure, The","['Adventure', ""Children's""]",amazing panda adventure adventure childrens,4
145,147,"Basketball Diaries, The (1995)",Drama,1995.0,"Basketball Diaries, The",['Drama'],basketball diaries drama,7
146,148,"Awfully Big Adventure, An (1995)",Drama,1995.0,"Awfully Big Adventure, An",['Drama'],awfully big adventure drama,10
147,149,Amateur (1994),Crime|Drama|Thriller,1994.0,Amateur,"['Crime', 'Drama', 'Thriller']",amateur crime drama thriller,8
148,150,Apollo 13 (1995),Drama,1995.0,Apollo 13,['Drama'],apollo drama,10
149,151,Rob Roy (1995),Drama|Romance|War,1995.0,Rob Roy,"['Drama', 'Romance', 'War']",rob roy drama romance war,7
150,152,"Addiction, The (1995)",Horror,1995.0,"Addiction, The",['Horror'],addiction horror,14
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995.0,Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",batman forever action adventure comedy crime,9
152,154,Belle de jour (1967),Drama,1967.0,Belle de jour,['Drama'],belle de jour drama,1
153,155,Beyond Rangoon (1995),Drama|War,1995.0,Beyond Rangoon,"['Drama', 'War']",beyond rangoon drama war,12
154,156,Blue in the Face (1995),Comedy,1995.0,Blue in the Face,['Comedy'],blue face comedy,14
155,157,Canadian Bacon (1994),Comedy|War,1994.0,Canadian Bacon,"['Comedy', 'War']",canadian bacon comedy war,2
156,158,Casper (1995),Adventure|Children's,1995.0,Casper,"['Adventure', ""Children's""]",casper adventure childrens,4
157,159,Clockers (1995),Drama,1995.0,Clockers,['Drama'],clockers drama,10
158,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995.0,Congo,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",congo action adventure mystery scifi,5
159,161,Crimson Tide (1995),Drama|Thriller|War,1995.0,Crimson Tide,"['Drama', 'Thriller', 'War']",crimson tide drama thriller war,8
160,162,Crumb (1994),Documentary,1994.0,Crumb,['Documentary'],crumb documentary,6
161,163,Desperado (1995),Action|Romance|Thriller,1995.0,Desperado,"['Action', 'Romance', 'Thriller']",desperado action romance thriller,8
162,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995.0,Devil in a Blue Dress,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",devil blue dress crime filmnoir mystery thriller,8
163,165,Die Hard: With a Vengeance (1995),Action|Thriller,1995.0,Die Hard: With a Vengeance,"['Action', 'Thriller']",die hard vengeance action thriller,8
164,166,"Doom Generation, The (1995)",Comedy|Drama,1995.0,"Doom Generation, The","['Comedy', 'Drama']",doom generation comedy drama,7
165,167,Feast of July (1995),Drama,1995.0,Feast of July,['Drama'],feast july drama,14
166,168,First Knight (1995),Action|Adventure|Drama|Romance,1995.0,First Knight,"['Action', 'Adventure', 'Drama', 'Romance']",first knight action adventure drama romance,11
167,169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,1995.0,Free Willy 2: The Adventure Home,"['Adventure', ""Children's"", 'Drama']",free willy adventure home adventure childrens drama,4
168,170,Hackers (1995),Action|Crime|Thriller,1995.0,Hackers,"['Action', 'Crime', 'Thriller']",hackers action crime thriller,8
169,171,Jeffrey (1995),Comedy,1995.0,Jeffrey,['Comedy'],jeffrey comedy,3
170,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995.0,Johnny Mnemonic,"['Action', 'Sci-Fi', 'Thriller']",johnny mnemonic action scifi thriller,8
171,173,Judge Dredd (1995),Action|Adventure|Sci-Fi,1995.0,Judge Dredd,"['Action', 'Adventure', 'Sci-Fi']",judge dredd action adventure scifi,5
172,174,Jury Duty (1995),Comedy,1995.0,Jury Duty,['Comedy'],jury duty comedy,2
173,175,Kids (1995),Drama,1995.0,Kids,['Drama'],kids drama,14
174,176,Living in Oblivion (1995),Comedy,1995.0,Living in Oblivion,['Comedy'],living oblivion comedy,2
175,177,Lord of Illusions (1995),Horror,1995.0,Lord of Illusions,['Horror'],lord illusions horror,3
176,178,Love & Human Remains (1993),Comedy,1993.0,Love & Human Remains,['Comedy'],love human remains comedy,14
177,179,Mad Love (1995),Drama|Romance,1995.0,Mad Love,"['Drama', 'Romance']",mad love drama romance,11
178,180,Mallrats (1995),Comedy,1995.0,Mallrats,['Comedy'],mallrats comedy,0
179,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,1995.0,Mighty Morphin Power Rangers: The Movie,"['Action', ""Children's""]",mighty morphin power rangers movie action childrens,4
180,182,Moonlight and Valentino (1995),Drama|Romance,1995.0,Moonlight and Valentino,"['Drama', 'Romance']",moonlight valentino drama romance,11
181,183,Mute Witness (1994),Thriller,1994.0,Mute Witness,['Thriller'],mute witness thriller,14
182,184,Nadja (1994),Drama,1994.0,Nadja,['Drama'],nadja drama,10
183,185,"Net, The (1995)",Sci-Fi|Thriller,1995.0,"Net, The","['Sci-Fi', 'Thriller']",net scifi thriller,5
184,186,Nine Months (1995),Comedy,1995.0,Nine Months,['Comedy'],nine months comedy,3
185,187,Party Girl (1995),Comedy,1995.0,Party Girl,['Comedy'],party girl comedy,0
186,188,"Prophecy, The (1995)",Horror,1995.0,"Prophecy, The",['Horror'],prophecy horror,14
187,189,Reckless (1995),Comedy,1995.0,Reckless,['Comedy'],reckless comedy,2
188,190,Safe (1995),Thriller,1995.0,Safe,['Thriller'],safe thriller,3
189,191,"Scarlet Letter, The (1995)",Drama,1995.0,"Scarlet Letter, The",['Drama'],scarlet letter drama,14
190,192,"Show, The (1995)",Documentary,1995.0,"Show, The",['Documentary'],show documentary,6
191,193,Showgirls (1995),Drama,1995.0,Showgirls,['Drama'],showgirls drama,7
192,194,Smoke (1995),Drama,1995.0,Smoke,['Drama'],smoke drama,14
193,195,Something to Talk About (1995),Comedy|Drama|Romance,1995.0,Something to Talk About,"['Comedy', 'Drama', 'Romance']",something talk comedy drama romance,11
194,196,Species (1995),Horror|Sci-Fi,1995.0,Species,"['Horror', 'Sci-Fi']",species horror scifi,5
195,197,"Stars Fell on Henrietta, The (1995)",Drama,1995.0,"Stars Fell on Henrietta, The",['Drama'],stars fell henrietta drama,3
196,198,Strange Days (1995),Action|Crime|Sci-Fi,1995.0,Strange Days,"['Action', 'Crime', 'Sci-Fi']",strange days action crime scifi,5
197,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,1964.0,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","['Drama', 'Musical']",umbrellas cherbourg parapluies de cherbourg les drama musical,1
198,200,"Tie That Binds, The (1995)",Thriller,1995.0,"Tie That Binds, The",['Thriller'],tie binds thriller,3
199,201,Three Wishes (1995),Drama,1995.0,Three Wishes,['Drama'],three wishes drama,10
200,202,Total Eclipse (1995),Drama|Romance,1995.0,Total Eclipse,"['Drama', 'Romance']",total eclipse drama romance,11
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995.0,"To Wong Foo, Thanks for Everything! Julie Newmar",['Comedy'],wong foo thanks everything julie newmar comedy,2
202,204,Under Siege 2: Dark Territory (1995),Action,1995.0,Under Siege 2: Dark Territory,['Action'],siege dark territory action,12
203,205,Unstrung Heroes (1995),Comedy|Drama,1995.0,Unstrung Heroes,"['Comedy', 'Drama']",unstrung heroes comedy drama,7
204,206,Unzipped (1995),Documentary,1995.0,Unzipped,['Documentary'],unzipped documentary,3
205,207,"Walk in the Clouds, A (1995)",Drama|Romance,1995.0,"Walk in the Clouds, A","['Drama', 'Romance']",walk clouds drama romance,3
206,208,Waterworld (1995),Action|Adventure,1995.0,Waterworld,"['Action', 'Adventure']",waterworld action adventure,12
207,209,White Man's Burden (1995),Drama,1995.0,White Man's Burden,['Drama'],white mans burden drama,3
208,210,Wild Bill (1995),Western,1995.0,Wild Bill,['Western'],wild bill western,3
209,211,"Browning Version, The (1994)",Drama,1994.0,"Browning Version, The",['Drama'],browning version drama,3
210,212,Bushwhacked (1995),Comedy,1995.0,Bushwhacked,['Comedy'],bushwhacked comedy,2
211,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,1994.0,Burnt By the Sun (Utomlyonnye solntsem),['Drama'],burnt sun utomlyonnye solntsem drama,1
212,214,Before the Rain (Pred dozhdot) (1994),Drama,1994.0,Before the Rain (Pred dozhdot),['Drama'],rain pred dozhdot drama,1
213,215,Before Sunrise (1995),Drama|Romance,1995.0,Before Sunrise,"['Drama', 'Romance']",sunrise drama romance,7
214,216,Billy Madison (1995),Comedy,1995.0,Billy Madison,['Comedy'],billy madison comedy,0
215,217,"Babysitter, The (1995)",Drama|Thriller,1995.0,"Babysitter, The","['Drama', 'Thriller']",babysitter drama thriller,8
216,218,Boys on the Side (1995),Comedy|Drama,1995.0,Boys on the Side,"['Comedy', 'Drama']",boys side comedy drama,7
217,219,"Cure, The (1995)",Drama,1995.0,"Cure, The",['Drama'],cure drama,10
218,220,Castle Freak (1995),Horror,1995.0,Castle Freak,['Horror'],castle freak horror,13
219,222,Circle of Friends (1995),Drama|Romance,1995.0,Circle of Friends,"['Drama', 'Romance']",circle friends drama romance,11
220,223,Clerks (1994),Comedy,1994.0,Clerks,['Comedy'],clerks comedy,0
221,224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995.0,Don Juan DeMarco,"['Comedy', 'Drama', 'Romance']",juan demarco comedy drama romance,7
222,225,Disclosure (1994),Drama|Thriller,1994.0,Disclosure,"['Drama', 'Thriller']",disclosure drama thriller,3
223,226,Dream Man (1995),Thriller,1995.0,Dream Man,['Thriller'],dream man thriller,14
224,227,Drop Zone (1994),Action,1994.0,Drop Zone,['Action'],drop zone action,12
225,228,Destiny Turns on the Radio (1995),Comedy,1995.0,Destiny Turns on the Radio,['Comedy'],destiny turns radio comedy,3
